uid,namedLocation,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks
14a6fca2-ac0a-46ec-be15-bcde7ab644ab,BLAN_012.tickPlot.tck,BLAN_012,2017-08-01T15:22Z,2018-01-13T17:00Z,BLAN_012.20170801,BLAN_012.20170801.DERVAR.M,Dermacentor variabilis,DERVAR,species,Ixodidae,,,,Dermacentor,,variabilis,,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Male,1,OK,90% ethanol,USNMENT01358789,BLAN_012.20170801.DERVAR.M,Lorenza Beati,Georgia Southern University,
43fdde3b-15b4-416b-ae9d-977bb2bddd97,BLAN_015.tickPlot.tck,BLAN_015,2017-08-01T16:38Z,2017-10-13T16:00Z,BLAN_015.20170801,BLAN_015.20170801.IXOSP.L,Ixodidae sp.,IXOSP,family,Ixodidae,,,,,,sp.,,,,GSU_tickIdentification_SOP_2016-11-01.pdf,,Larva,1,OK,90% ethanol,USNMENT01358787,BLAN_015.20170801.L,Guy Hobbs,Georgia Southern University,
75c4c4af-4a4a-48dc-92cb-f6733fb9be2b,BLAN_015.tickPlot.tck,BLAN_015,2017-08-01T16:38Z,2018-01-13T17:00Z,BLAN_015.20170801,BLAN_015.20170801.DERVAR.M,Dermacentor variabilis,DERVAR,species,Ixodidae,,,,Dermacentor,,variabilis,,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Male,1,OK,90% ethanol,USNMENT01358788,BLAN_015.20170801.DERVAR.M,Lorenza Beati,Georgia Southern University,
71d5d6d7-8065-41b6-8043-283f6a9c47aa,BLAN_005.tickPlot.tck,BLAN_005,2017-08-21T15:57Z,2017-10-01T16:00Z,BLAN_005.20170821,BLAN_005.20170821.IXOSP.L,Ixodidae sp.,IXOSP,family,Ixodidae,,,,,,sp.,,,,GSU_tickIdentification_SOP_2016-11-01.pdf,,Larva,1,OK,90% ethanol,USNMENT01358750,BLAN_005.20170821.L,Guy Hobbs,Georgia Southern University,
46ed7738-a561-4aae-a1b8-2e4aea90f2e7,BLAN_012.tickPlot.tck,BLAN_012,2017-08-22T16:57Z,2017-10-01T16:00Z,BLAN_012.20170822,BLAN_012.20170822.IXOSP.L,Ixodidae sp.,IXOSP,family,Ixodidae,,,,,,sp.,,,,GSU_tickIdentification_SOP_2016-11-01.pdf,,Larva,1,OK,90% ethanol,USNMENT01358749,BLAN_012.20170822.L,Guy Hobbs,Georgia Southern University,
abba87a7-357f-456f-a3a3-1a54d57a3c85,BLAN_015.tickPlot.tck,BLAN_015,2017-08-22T18:09Z,2017-10-01T16:00Z,BLAN_015.20170822,BLAN_015.20170822.IXOSP.L,Ixodidae sp.,IXOSP,family,Ixodidae,,,,,,sp.,,,,GSU_tickIdentification_SOP_2016-11-01.pdf,,Larva,1,OK,90% ethanol,USNMENT01358748,BLAN_015.20170822.L,Guy Hobbs,Georgia Southern University,
0395e808-7596-45b5-8d16-9132ea640dd0,UNDE_999.tickPlot.tck,UNDE_999,2016-06-20T16:04Z,2017-06-28T16:00Z,UNDE_999.20160620,UNDE_999.20160620.DERVAR.M,Dermacentor variabilis,DERVAR,species,Ixodidae,,,,Dermacentor,,variabilis,,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Male,1,OK,RNA stabilization buffer,USNMENT00984819,UNDE_999.20160620.DERVAR.M,Lorenza Beati,Georgia Southern University,
d56d9809-8cbe-411e-b473-4a47460f6fff,UNDE_019.tickPlot.tck,UNDE_019,2016-06-20T17:29Z,2017-06-28T16:00Z,UNDE_019.20160620,UNDE_019.20160620.IXOSCA.N,Ixodes scapularis,IXOSCA,species,Ixodidae,,,,Ixodes,,scapularis,,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Nymph,1,OK,RNA stabilization buffer,USNMENT00984820,UNDE_019.20160620.IXOSCA.N,Lorenza Beati,Georgia Southern University,
4a5b9c77-1965-44b1-8697-eeddaf61e4d7,UNDE_999.tickPlot.tck,UNDE_999,2017-06-21T18:11Z,2018-03-11T16:00Z,UNDE_999.20170621,UNDE_999.20170621.DERVAR.M,Dermacentor variabilis,DERVAR,species,Ixodidae,,,,Dermacentor,,variabilis,,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Male,1,OK,90% ethanol,USNMENT01430195,UNDE_999.20170621.DERVAR.M,Lorenza Beati,Georgia Southern University,
e76ca2e1-da44-47ac-97ff-246d0ec963b1,SCBI_002.tickPlot.tck,SCBI_002,2016-09-12T17:00Z,2017-05-11T16:00Z,SCBI_002.20160912,SCBI_002.20160912.IXOSP.L,Ixodidae sp.,IXOSP,family,Ixodidae,,,,,,sp.,,,,GSU_tickIdentification_SOP_2016-11-01.pdf,,Larva,1,OK,RNA stabilization buffer,USNMENT00984602,SCBI_002.20160912.01.L,Guy Hobbs,Georgia Southern University,
